Map file name, A* time (s), LRTA time (s), TT IDA time (s), New IDA time (s), A* expended nodes, New IDA expended nodes, A* generated nodes, New IDA generated nodes, A* current memory used, LRTA current memory used, TT current IDA memory used, New IDA current memory used, A* peak memory used, LRTA peak memory used, TT IDA peak memory used, New IDA peak memory used, A* traversed nodes, LRTA traversed nodes, TT IDA traversed nodes, New IDA traversed nodes, A* cost, LRTA cost, TT IDA cost, New IDA cost
map10_40\41.txt,0.0,0.0013251304626464844,0.0010249614715576172,0.0,39,14,44,19,506,427,1159,2711,19095,19705,20409,21303,99,468,212,113,22,22,22,22
map10_40\42.txt,0.0,0.0,0.0,0.0,19,1,26,2,463,399,463,863,19052,18906,18970,19370,43,27,44,29,18,18,18,18
map10_40\43.txt,0.0,0.0010845661163330078,0.0010230541229248047,0.0,32,4,36,5,463,373,463,1367,19052,19651,19713,19874,66,274,116,59,22,22,22,22
map10_40\44.txt,0.0,0.001073598861694336,0.00101470947265625,0.0,34,6,40,7,463,427,463,1703,19052,19671,19645,20210,79,292,119,84,20,20,20,20
map10_40\45.txt,0.001306772232055664,0.0,0.0010051727294921875,0.0,25,1,33,2,463,399,463,863,19758,18906,19710,19370,58,28,56,29,18,18,18,18
map10_40\46.txt,0.0,0.0,0.0,0.0,23,1,33,3,409,399,409,1031,18998,18906,18916,19538,55,28,48,30,18,18,18,18
map10_40\47.txt,0.0010006427764892578,0.0,0.0,0.0,31,1,42,4,463,345,530,1199,19792,18785,18970,19639,77,90,49,35,18,18,18,18
map10_40\48.txt,0.001001119613647461,0.0,0.0,0.0,24,1,34,3,463,399,409,1031,19758,18906,18916,19538,58,63,53,37,18,18,18,18
map10_40\49.txt,0.0,0.0,0.0,0.0,23,1,29,0,463,399,463,527,19052,18906,18970,19034,50,58,45,30,18,18,18,18
map10_40\5.txt,0.0010006427764892578,0.0010018348693847656,0.0010006427764892578,0.0,21,1,24,3,463,399,463,1031,19792,19649,19710,19538,46,102,46,49,18,18,18,18
map10_40\50.txt,0.0,0.0,0.0,0.0,23,1,33,4,530,466,463,1199,19052,18906,18903,19706,55,63,49,34,18,18,18,18
map10_40\51.txt,0.0010006427764892578,0.0,0.0,0.0,22,1,33,4,463,466,530,1266,19792,18909,18970,19706,57,107,51,40,18,18,18,18
map10_40\52.txt,0.0010035037994384766,0.0,0.0,0.0,26,1,39,2,530,466,530,930,19792,18906,18970,19370,69,28,51,29,18,18,18,18
map10_40\53.txt,0.0,0.0,0.0,0.0011208057403564453,23,1,29,1,530,466,530,762,19052,18906,18970,19942,54,73,47,37,18,18,18,18
map10_40\54.txt,0.0,0.0010020732879638672,0.001184701919555664,0.0,20,1,30,3,530,466,530,1098,19052,19646,19676,19538,48,76,46,39,18,18,18,18
map10_40\55.txt,0.0,0.0,0.0,0.0,25,1,37,2,530,466,530,930,19052,18909,18970,19370,65,197,75,47,18,18,18,18
map10_40\56.txt,0.0,0.0,0.0,0.0,22,1,32,6,530,466,476,1602,19052,18909,18916,20042,53,125,47,46,18,18,18,18
map10_40\57.txt,0.0,0.0,0.0,0.0,20,1,28,3,530,412,530,1098,19052,18852,18970,19538,48,69,50,36,18,18,18,18
map10_40\58.txt,0.0010199546813964844,0.0010578632354736328,0.0010554790496826172,0.0,23,1,33,3,530,466,476,1098,19792,19646,19656,19538,56,66,51,36,18,18,18,18
map10_40\59.txt,0.0,0.0,0.0,0.0,23,1,34,3,530,466,530,1098,19052,18906,18970,19538,59,67,58,43,18,18,18,18
