Map file name, A* time (s), LRTA time (s), TT IDA time (s), IIDA time (s), A* current memory used, LRTA current memory used, TT current IDA memory used, IIDA current memory used, A* peak memory used, LRTA peak memory used, TT IDA peak memory used, IIDA peak memory used, A* traversed nodes, LRTA traversed nodes, TT IDA traversed nodes, IIDA traversed nodes, A* expended nodes, IIDA expended nodes, A* generated nodes, IIDA generated nodes, A* cost, LRTA cost, TT IDA cost, IIDA cost
map/60.txt,1.8807203769683838,0,0,0.5307862758636475,412385,0,0,258757,8462072,0,0,3744704,0,0,0,0,147238,13,171082,96664,239,0,0,240
Sum,1.8807203769683838,0,0,0.5307862758636475,412385,0,0,258757,8462072,0,0,3744704,0,0,0,0,147238,13,171082,96664,239,0,0,240
